,x,y,col,cluster
BI/15793/68,4.03059864964,14.5620888321,#a208bd,HK68
BI/16190/68,4.07054864964,14.3425988321,#a208bd,HK68
BI/16398/68,4.27049864964,13.4345788321,#a208bd,HK68
HK/1/68,6.19200864964,13.2347588321,#a208bd,HK68
BI/808/69,3.81349864964,13.8543588321,#a208bd,HK68
BI/908/69,4.79826864964,13.5963688321,#a208bd,HK68
BI/17938/69,4.38621864964,14.4068788321,#a208bd,HK68
BI/93/70,5.01338864964,13.9831888321,#a208bd,HK68
BI/2668/70,4.88993864964,14.9840488321,#a208bd,HK68
BI/6449/71,3.93711864964,15.5131288321,#a208bd,HK68
BI/21438/71,4.19960864964,13.6807188321,#a208bd,HK68
BI/21801/71,4.19053864964,13.7000188321,#a208bd,HK68
HK/107/71,4.02756864964,15.0313788321,#a208bd,HK68
BI/6022/72,3.23579864964,13.7101288321,#a208bd,HK68
BI/21793/72,1.76844864964,13.3029388321,#00ffe1,EN72
BI/23290/72,1.54701864964,13.4243688321,#00ffe1,EN72
BI/23337/72,1.54701864964,13.4243688321,#00ffe1,EN72
EN/42/72,2.55372864964,13.0823688321,#00ffe1,EN72
BI/552/73,1.16406864964,12.7527488321,#00ffe1,EN72
BI/748/73,1.34703864964,13.5995088321,#00ffe1,EN72
BI/3517/73,1.68278864964,13.5072988321,#00ffe1,EN72
PC/1/73,0.325338649635,13.1409288321,#00ffe1,EN72
BI/5146/74,0.739868649635,14.1197988321,#00ffe1,EN72
BI/5930/74,1.46839864964,13.5153588321,#00ffe1,EN72
BI/5931/74,1.40058864964,12.7153788321,#00ffe1,EN72
BI/7398/74,0.392268649635,12.9280888321,#00ffe1,EN72
BI/9459/74,1.15636864964,12.7729088321,#00ffe1,EN72
BI/334/75,0.604728649635,13.3790188321,#00ffe1,EN72
BI/1843/75,-0.031051350365,11.7545088321,#00ffe1,EN72
BI/2600/75,0.00981864963506,13.6320288321,#00ffe1,EN72
BI/2813/75,1.24926864964,13.8471688321,#00ffe1,EN72
BI/4273/75,0.0150686496351,14.1688788321,#00ffe1,EN72
VI/3/75,-0.267771350365,10.5112988321,#f9d004,VI75
BI/628/76,-2.05917135036,8.28054883212,#ab4c00,TX77
BI/1761/76,0.477408649635,8.73516883212,#f9d004,VI75
BI/2271/76,-2.14872135036,8.41688883212,#ab4c00,TX77
BI/5029/76,0.592728649635,8.20942883212,#f9d004,VI75
BI/5168/76,0.294908649635,9.10197883212,#f9d004,VI75
BI/5657/76,0.396898649635,8.36970883212,#f9d004,VI75
BI/6545/76,0.390168649635,8.47989883212,#f9d004,VI75
AM/1609/77,0.489968649635,9.21552883212,#f9d004,VI75
BI/3895/77,0.230118649635,8.61998883212,#f9d004,VI75
RD/5828/77,0.944388649635,9.52923883212,#f9d004,VI75
RD/8179/77,0.510698649635,8.93267883212,#f9d004,VI75
TE/1/77,-4.66412135036,8.92605883212,#ab4c00,TX77
BA/1/79,-6.52395135036,5.48054883212,#00ff00,BK79
NL/209/80,-3.83055135036,6.82782883212,#00ff00,BK79
RD/577/80,-3.89700135036,6.95142883212,#00ff00,BK79
BI/4791/81,-3.74485135036,5.95820883212,#00ff00,BK79
LY/2380/81,-4.41136135036,5.84642883212,#00ff00,BK79
AL/4382/82,-4.59344135036,6.17978883212,#00ff00,BK79
BI/10684/82,-4.08814135036,6.45612883212,#00ff00,BK79
NL/233/82,-4.17147135036,6.71482883212,#00ff00,BK79
NL/241/82,-4.04452135036,6.52755883212,#00ff00,BK79
PH/2/82,-6.09934135036,5.52412883212,#00ff00,BK79
OS/13676/83,-4.62814135036,5.96905883212,#00ff00,BK79
CE/1/84,-2.30447135036,5.67480883212,#00ff00,BK79
GF/V728/85,-3.49482135036,3.47427883212,#00ff00,BK79
NL/330/85,-2.99256135036,5.74583883212,#00ff00,BK79
NL/333/85,-2.08451135036,5.49957883212,#00ff00,BK79
ST/10/85,-3.00363135036,4.96172883212,#00ff00,BK79
WE/4/85,-3.49635135036,4.26857883212,#00ff00,BK79
CO/2/86,-3.33308135036,4.95722883212,#00ff00,BK79
LE/360/86,-5.86868135036,3.49182883212,#00ff00,BK79
SH/11/87,1.42112864964,2.61679883212,#0000ff,SI87
SI/2/87,0.626968649635,3.89612883212,#0000ff,SI87
VI/7/87,-3.63854135036,1.34477883212,#0000ff,SI87
AT/3572DASH5/88,-1.35954135036,2.77839883212,#0000ff,SI87
CC/2/88,-4.53454135036,3.13459883212,#00ff00,BK79
EN/427/88,-0.290631350365,2.78547883212,#0000ff,SI87
NL/450/88,-0.615171350365,2.14686883212,#0000ff,SI87
OK/5/88,-4.32063135036,1.06424883212,#0000ff,SI87
ST/12/88,-1.10781135036,2.74388883212,#0000ff,SI87
VI/1/88,-4.28193135036,1.86428883212,#0000ff,SI87
AT/211/89,-2.15803135036,1.02430883212,#0000ff,SI87
BE/352/89,-1.24404135036,-1.65730116788,#ff0000,BE89
BE/353/89,-4.48088135036,-0.790931167883,#ff0000,BE89
EI/3447/89,-0.534461350365,2.12725883212,#0000ff,SI87
EN/138/89,-0.469281350365,2.28291883212,#0000ff,SI87
GE/5007/89,-0.627541350365,2.30635883212,#0000ff,SI87
GU/54/89,1.89802864964,2.55200883212,#0000ff,SI87
HK/1/89,-0.816931350365,2.38595883212,#0000ff,SI87
NL/620/89,-0.016951350365,1.58886883212,#0000ff,SI87
NL/650/89,1.16963864964,2.75352883212,#0000ff,SI87
NL/738/89,1.75076864964,3.67083883212,#0000ff,SI87
SP/34/89,0.486588649635,1.32510883212,#0000ff,SI87
SP/35/89,-0.325691350365,1.68873883212,#0000ff,SI87
SP/36/89,0.772018649635,1.21171883212,#0000ff,SI87
SP/40/89,-0.890761350365,0.459128832117,#0000ff,SI87
SP/53/89,-0.489481350365,2.03677883212,#0000ff,SI87
VI/1/89,1.52668864964,5.43388883212,#0000ff,SI87
WE/5/89,0.324448649635,0.755698832117,#0000ff,SI87
WK/1/89,-0.181891350365,1.57724883212,#0000ff,SI87
ME/2/90,-0.270611350365,2.68592883212,#0000ff,SI87
ME/5/90,-2.38066135036,1.92114883212,#0000ff,SI87
SH/24/90,2.71022864964,0.961018832117,#0000ff,SI87
SU/1/90,-0.829691350365,2.30575883212,#0000ff,SI87
VI/2/90,-2.60189135036,-1.02015116788,#ff0000,BE89
WE/3/90,-2.46438135036,-1.47543116788,#ff0000,BE89
CA/1/91,-1.50677135036,2.68826883212,#0000ff,SI87
EN/260/91,-3.27169135036,-0.818141167883,#ff0000,BE89
EN/261/91,-1.11920135036,-2.40027116788,#ff0000,BE89
GE/5366/91,0.056228649635,2.27948883212,#0000ff,SI87
GE/6447/91,-3.81430135036,-1.99003116788,#ff0000,BE89
LY/1149/91,-1.61289135036,-2.58950116788,#ff0000,BE89
LY/1182/91,-2.37046135036,-2.36413116788,#ff0000,BE89
LY/1189/91,-2.76057135036,-1.44889116788,#ff0000,BE89
